vehicle_make,vehicle_model,vehicle_body_type,vehicle_year,vehicle_mileage,vehicle_transmission,vehicle_price
Lexus,RX200t,SUV,2016,37500,Automatic,915000000
Honda,City,Sedan,2014,72500,Automatic,172000000
BMW,523i,Sedan,2010,197500,Automatic,215000000
Daihatsu,Sigra,MPV,2017,62500,Manual,105000000
Daihatsu,Xenia,MPV,2010,152500,Manual,89000000
Daihatsu,Taruna,SUV,2000,127500,Manual,62000000
Mitsubishi,Pajero Sport,SUV,2018,97500,Automatic,455000000
Honda,Civic,Sedan,2007,127500,Manual,130000000
Toyota,Yaris,Hatchback,2015,102500,Manual,175000000
Hyundai,Creta,Wagon,2022,2500,Automatic,288000000
Suzuki,Karimun Wagon R,Hatchback,2016,97500,Manual,69000000
BMW,218i,Hatchback,2015,87500,Automatic,325000000
Honda,Brio,Hatchback,2019,32500,Manual,139000000
Toyota,Fortuner,SUV,2014,77500,Automatic,322000000
Daihatsu,Sirion,Hatchback,2015,47500,Automatic,117000000
Daihatsu,Terios,SUV,2011,92500,Manual,115000000
Honda,HR-V,SUV,2019,27500,Automatic,345000000
BMW,530i,Sedan,2004,192500,Automatic,97000000
Honda,City,Hatchback,2022,7500,Automatic,309000000
Toyota,Sienta,MPV,2016,36000,Automatic,148000000
Toyota,Corolla Altis,Sedan,2016,48000,Automatic,208000000
Toyota,Yaris,Hatchback,2012,50000,Automatic,125000000
Chevrolet,Trax,SUV,2016,62500,Automatic,160000000
Toyota,Calya,MPV,2016,60000,Automatic,99000000
Suzuki,Ertiga,MPV,2014,95000,Manual,115000000
BMW,320i,Sedan,2018,7500,Automatic,625000000
Mazda,Biante,MPV,2015,42500,Automatic,195000000
Honda,City,Hatchback,2021,30000,Automatic,255000000
Mazda,Biante,MPV,2015,40000,Automatic,188000000
Toyota,Camry,Sedan,2014,97500,Automatic,225000000
Toyota,Voxy,Wagon,2018,50000,Automatic,365000000
Honda,HR-V,SUV,2019,50000,Automatic,265000000
Nissan,Grand Livina,MPV,2017,77000,Automatic,143000000
Honda,Odyssey,MPV,2015,50000,Automatic,330000000
Mitsubishi,Pajero Sport,SUV,2015,66000,Automatic,295000000
Suzuki,Ertiga,MPV,2016,47500,Automatic,153000000
Honda,Mobilio,MPV,2018,42500,Automatic,165000000
Honda,Accord,Sedan,2014,80000,Automatic,235000000
Toyota,Fortuner,SUV,2021,27000,Automatic,495000000
